# Band structure: file generated from Abinit band.out file. #
# Eigenvalues (eV) for nkpt= 221 k points. #
# Format: total path length, kx, ky, kz, one or more energy eigenvalues. #
0.6156826694021189 -0.0818 0.0818 0.5 -60.61731 -60.61731 -27.33121 -27.33121 -25.52362 -25.52362 -24.05939 -24.05939
15.31545 15.31545 16.22893 16.22893 16.65475 16.65475 17.42185 17.42185
18.29830 18.29830 18.90546 18.90546 20.25570 20.25570 22.27498 22.27498
23.84731 23.84731 26.00748 26.00748 27.71198 27.71198 29.17102 29.17102
37.82710 37.82710 44.60961 44.60961 46.67124 46.67124 49.33995 49.33995
51.73110 51.73110 53.67731 53.67731 55.89700 55.89700
0.6261478497636798 -0.0892 0.0892 0.5 -60.61737 -60.61737 -27.33031 -27.33031 -25.52257 -25.52257 -24.06057 -24.06057
15.31693 15.31693 16.22605 16.22605 16.65539 16.65539 17.37500 17.37500
18.29069 18.29069 18.89458 18.89458 20.30747 20.30747 22.29144 22.29144
23.80189 23.80189 26.01697 26.01697 27.71253 27.71253 29.18713 29.18713
37.93826 37.93826 44.58521 44.58521 46.60708 46.60708 49.25033 49.25033
51.80906 51.80906 53.76039 53.76039 55.87767 55.87767
0.6366130301252406 -0.0966 0.0966 0.5 -60.61743 -60.61743 -27.32934 -27.32934 -25.52145 -25.52145 -24.06185 -24.06185
15.31784 15.31784 16.22102 16.22102 16.65504 16.65504 17.32896 17.32896
18.28258 18.28258 18.88783 18.88783 20.35674 20.35674 22.30707 22.30707
23.75725 23.75725 26.02708 26.02708 27.71229 27.71229 29.20556 29.20556
38.05640 38.05640 44.55909 44.55909 46.54135 46.54135 49.15646 49.15646
51.88640 51.88640 53.84922 53.84922 55.86556 55.86556
0.6472196318430388 -0.1041 0.1041 0.5 -60.61750 -60.61750 -27.32829 -27.32829 -25.52024 -25.52024 -24.06321 -24.06321
15.31799 15.31799 16.21356 16.21356 16.65295 16.65295 17.28528 17.28528
18.27425 18.27425 18.88483 18.88483 20.40319 20.40319 22.32129 22.32129
23.71448 23.71448 26.03775 26.03775 27.71114 27.71114 29.22650 29.22650
38.18094 38.18094 44.53137 44.53137 46.47473 46.47473 49.05826 49.05826
51.96301 51.96301 53.94321 53.94321 55.86032 55.86032
0.6576848122045996 -0.1115 0.1115 0.5 -60.61757 -60.61757 -27.32717 -27.32717 -25.51896 -25.51896 -24.06467 -24.06467
15.31716 15.31716 16.20343 16.20343 16.64814 16.64814 17.24565 17.24565
18.26596 18.26596 18.88515 18.88515 20.44660 20.44660 22.33353 22.33353
23.67464 23.67464 26.04890 26.04890 27.70894 27.70894 29.25014 29.25014
38.31126 38.31126 44.50216 44.50216 46.40789 46.40789 48.95563 48.95563
52.03884 52.03884 54.04169 54.04169 55.86143 55.86143
0.6681499925661605 -0.1189 0.1189 0.5 -60.61765 -60.61765 -27.32597 -27.32597 -25.51761 -25.51761 -24.06621 -24.06621
15.31508 15.31508 16.19048 16.19048 16.63953 16.63953 17.21182 17.21182
18.25798 18.25798 18.88832 18.88832 20.48679 20.48679 22.34322 22.34322
23.63878 23.63878 26.06048 26.06048 27.70561 27.70561 29.27663 29.27663
38.44674 38.44674 44.47161 44.47161 46.34144 46.34144 48.84852 48.84852
52.11398 52.11398 54.14389 54.14389 55.86824 55.86824
0.6787565942839587 -0.1264 0.1264 0.5 -60.61773 -60.61773 -27.32470 -27.32470 -25.51618 -25.51618 -24.06783 -24.06783
15.31150 15.31150 16.17457 16.17457 16.62619 16.62619 17.18537 17.18537
18.25050 18.25050 18.89386 18.89386 20.52365 20.52365 22.34993 22.34993
23.60783 23.60783 26.07240 26.07240 27.70107 27.70107 29.30611 29.30611
38.58671 38.58671 44.43988 44.43988 46.27599 46.27599 48.73691 48.73691
52.18853 52.18853 54.24901 54.24901 55.87997 55.87997
0.6892217746455196 -0.1338 0.1338 0.5 -60.61782 -60.61782 -27.32336 -27.32336 -25.51469 -25.51469 -24.06954 -24.06954
15.30610 15.30610 16.15564 16.15564 16.60762 16.60762 17.16735 17.16735
18.24370 18.24370 18.90130 18.90130 20.55714 20.55714 22.35335 22.35335
23.58254 23.58254 26.08460 26.08460 27.69527 27.69527 29.33872 29.33872
38.73050 38.73050 44.40715 44.40715 46.21211 46.21211 48.62085 48.62085
52.26263 52.26263 54.35615 54.35615 55.89571 55.89571
0.6996869550070804 -0.1412 0.1412 0.5 -60.61791 -60.61791 -27.32195 -27.32195 -25.51313 -25.51313 -24.07132 -24.07132
15.29856 15.29856 16.13367 16.13367 16.58406 16.58406 17.15809 17.15809
18.23767 18.23767 18.91017 18.91017 20.58730 20.58730 22.35337 22.35337
23.56342 23.56342 26.09701 26.09701 27.68819 27.68819 29.37454 29.37454
38.87740 38.87740 44.37361 44.37361 46.15034 46.15034 48.50040 48.50040
52.33637 52.33637 54.46438 54.46438 55.91449 55.91449
0.7102935567248787 -0.1487 0.1487 0.5 -60.61800 -60.61800 -27.32047 -27.32047 -25.51152 -25.51152 -24.07317 -24.07317
15.28853 15.28853 16.10867 16.10867 16.55642 16.55642 17.15712 17.15712
18.23250 18.23250 18.92003 18.92003 20.61424 20.61424 22.35014 22.35014
23.55072 23.55072 26.10955 26.10955 27.67983 27.67983 29.41365 29.41365
39.02666 39.02666 44.33947 44.33947 46.09119 46.09119 48.37572 48.37572
52.40982 52.40982 54.57268 54.57268 55.93531 55.93531
0.72542035413874 -0.1574 0.1574 0.4912 -60.62778 -60.60845 -27.33439 -27.30277 -25.51620 -25.50280 -24.08506 -24.06598
15.26440 15.28284 16.07213 16.07884 16.50694 16.53570 17.14287 17.18814
18.20292 18.25167 18.91773 18.94788 20.61014 20.67199 22.29276 22.38994
23.49454 23.59109 26.09753 26.12838 27.61052 27.75058 29.21229 29.72623
39.16451 39.24677 44.28121 44.31415 45.90630 46.14122 48.07409 48.38013
52.42802 52.55972 54.60845 54.77150 55.91529 56.01871
0.7406624012453461 -0.1662 0.1662 0.4824 -60.63732 -60.59914 -27.34846 -27.28455 -25.52112 -25.49360 -24.09727 -24.05889
15.23567 15.27508 16.03122 16.04681 16.46044 16.51324 17.14140 17.22386
18.17591 18.27011 18.91654 18.97640 20.59962 20.72335 22.22733 22.42665
23.44550 23.63648 26.05952 26.13206 27.56647 27.83732 29.02085 30.05693
39.30035 39.47165 44.23021 44.27515 45.75272 46.16081 47.80001 48.37186
52.44600 52.69540 54.64159 54.91429 55.91436 56.11555
0.7559044483519523 -0.175 0.175 0.4736 -60.64659 -60.59010 -27.36268 -27.26582 -25.52627 -25.48401 -24.10977 -24.05188
15.20196 15.26449 15.98558 16.01459 16.42008 16.49092 17.15035 17.26282
18.15151 18.28799 18.91542 19.00485 20.58298 20.76827 22.15665 22.46055
23.40216 23.68610 25.99884 26.12641 27.54233 27.93337 28.84506 30.40114
39.43081 39.69918 44.17862 44.22893 45.63698 46.13537 47.57140 48.35306
52.46269 52.81054 54.66205 54.99077 55.93220 56.23375
0.7710889799548698 -0.1838 0.1838 0.4649 -60.65558 -60.58134 -27.37707 -27.24658 -25.53165 -25.47412 -24.12250 -24.04492
15.16325 15.25040 15.93581 15.98332 16.38820 16.47044 17.16721 17.30390
18.12974 18.30526 18.91335 19.03256 20.56068 20.80699 22.08371 22.49206
23.36314 23.73876 25.92004 26.11694 27.52892 28.02851 28.69536 30.75574
39.55196 39.92677 44.10340 44.20073 45.56007 46.05136 47.40711 48.32650
52.47613 52.89820 54.65055 55.01857 55.95753 56.37831
0.786331027061476 -0.1926 0.1926 0.4561 -60.66426 -60.57289 -27.39164 -27.22686 -25.53723 -25.46403 -24.13544 -24.03799
15.11996 15.23228 15.88303 15.95373 16.36613 16.45309 17.18980 17.34618
18.11065 18.32161 18.90947 19.05898 20.53324 20.84005 22.01129 22.52177
23.32728 23.79310 25.82823 26.10751 27.51418 28.10609 28.59159 31.11843
39.65938 40.15126 44.00467 44.19757 45.51108 45.91462 47.31382 48.29543
52.48345 52.95141 54.58344 55.03480 55.98086 56.54419
