#K-Path      Energy-Level
# NKPTS & NBANDS: 660  48
# Band-Index    1
   3.11825    -13.497458
   3.12396    -13.500934
   3.12968    -13.504441
   3.13539    -13.507971
   3.14111    -13.511509
   3.14682    -13.515049
   3.15254    -13.518579
   3.15825    -13.522090
   3.16397    -13.525578
   3.16968    -13.529034
   3.17540    -13.532451
   3.18111    -13.535826
   3.18683    -13.539151
   3.19254    -13.542421
   3.19826    -13.545633
   3.20397    -13.548783
   3.20969    -13.551867
   3.21540    -13.554881
   3.22112    -13.557823
   3.22683    -13.560690
   3.23254    -13.563478
   3.23826    -13.566186
   3.24397    -13.568813
   3.24969    -13.571354
   3.25540    -13.573808
   3.26112    -13.576173
   3.26683    -13.578448
   3.27255    -13.580632
   3.27826    -13.582722
   3.28398    -13.584717
   3.28969    -13.586618
   3.29541    -13.588421
   3.30112    -13.590127
   3.30684    -13.591732
   3.31255    -13.593240
   3.31827    -13.594646
   3.32398    -13.595951
   3.32969    -13.597154
   3.33541    -13.598252
   3.34112    -13.599249
   3.34684    -13.600142
   3.35255    -13.600931
   3.35827    -13.601616
   3.36398    -13.602196
   3.36970    -13.602672
   3.37541    -13.603041
   3.38113    -13.603305
   3.38684    -13.603464
   3.39256    -13.603518
   3.39256    -13.603518
   3.40176    -13.603405
   3.41096    -13.603071
   3.42016    -13.602512
   3.42936    -13.601729
   3.43857    -13.600724
   3.44777    -13.599498
   3.45697    -13.598050
   3.46617    -13.596382
   3.47537    -13.594494
   3.48457    -13.592390
   3.49378    -13.590068
   3.50298    -13.587528
   3.51218    -13.584777
   3.52138    -13.581814
   3.53058    -13.578639
   3.53978    -13.575256
   3.54899    -13.571666
   3.55819    -13.567871
   3.56739    -13.563876
   3.57659    -13.559683
   3.58579    -13.555292
   3.59499    -13.550707
   3.60420    -13.545931
   3.61340    -13.540969
   3.62260    -13.535822
   3.63180    -13.530493
   3.64100    -13.524987
   3.65021    -13.519308
   3.65941    -13.513463
   3.66861    -13.507448
   3.67781    -13.501273
   3.68701    -13.494943
   3.69621    -13.488460
   3.70542    -13.481826
   3.71462    -13.475052
   3.72382    -13.468141
   3.73302    -13.461097
   3.74222    -13.453926
   3.75142    -13.446635
   3.76063    -13.439230
   3.76983    -13.431716
   3.77903    -13.424097
   3.78823    -13.416383
   3.79743    -13.408580
   3.80663    -13.400694
   3.81584    -13.392733
   3.82504    -13.384704
   3.83424    -13.376616
   3.84344    -13.368476
   3.85264    -13.360289
   3.86184    -13.352067
   3.87105    -13.343817
