#K-Path      Energy-Level
# NKPTS & NBANDS: 160  24
# Band-Index    1
   2.01994     -2.807274
   2.04189     -2.791710
   2.06385     -2.780565
   2.08580     -2.772980
   2.10776     -2.768114
   2.12971     -2.765108
   2.15166     -2.763089
   2.17362     -2.761060
   2.19557     -2.757731
   2.21753     -2.751162
   2.23948     -2.738076
   2.26144     -2.713066
   2.28339     -2.670061
   2.30535     -2.609309
   2.32730     -2.540465
   2.34925     -2.475121
   2.37121     -2.422159
   2.39316     -2.387783
   2.41512     -2.375874
   2.41512     -2.375874
   2.43313     -2.406536
   2.45115     -2.437708
   2.46917     -2.469271
   2.48719     -2.501125
   2.50520     -2.533179
   2.52322     -2.565340
   2.54124     -2.591729
   2.55926     -2.570212
   2.57727     -2.557180
   2.59529     -2.553777
   2.61331     -2.560778
   2.63132     -2.578398
   2.64934     -2.606236
   2.66736     -2.643361
   2.68538     -2.688487
   2.70339     -2.740201
   2.72141     -2.797110
   2.73943     -2.857943
   2.75744     -2.921573
   2.77546     -2.979412
   2.79348     -3.003504
   2.81150     -3.026555
   2.82951     -3.048514
   2.84753     -3.069341
   2.86555     -3.088998
   2.88357     -3.107451
   2.90158     -3.124663
   2.91960     -3.140606
   2.93762     -3.155250
   2.95563     -3.168576
   2.97365     -3.180557
   2.99167     -3.191181
   3.00969     -3.200418
   3.02770     -3.208259
   3.04572     -3.214691
   3.06374     -3.219705
   3.08176     -3.223293
   3.09977     -3.225448
   3.11779     -3.226166
 
 
# Band-Index    8
   3.11779     -1.917932
   3.09977     -1.914240
   3.08176     -1.903213
   3.06374     -1.901495
   3.04572     -1.902180
   3.02770     -1.903094
   3.00969     -1.904269
   2.99167     -1.905732
   2.97365     -1.907521
   2.95563     -1.909680
   2.93762     -1.912254
   2.91960     -1.915293
   2.90158     -1.918852
   2.88357     -1.922986
   2.86555     -1.927756
   2.84753     -1.933224
   2.82951     -1.939451
   2.81150     -1.946497
   2.79348     -1.954424
   2.77546     -1.963292
   2.75744     -1.973160
   2.73943     -1.984074
   2.72141     -1.996084
   2.70339     -2.009230
   2.68538     -2.023550
